

2015年02月12日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10983.37,+,33.01,0.3
發行量加權股價指數,9496.31,+,34.09,0.36
臺灣50指數,6945.05,+,31.78,0.46
臺灣中型100指數,7520.52,+,26.93,0.36
臺灣資訊科技指數,8439.8,+,34.45,0.41
臺灣發達指數,8077.07,+,43.82,0.55
臺灣高股息指數,5937.07,+,4.35,0.07
臺灣就業99指數,5679.55,+,19.43,0.34
臺灣高薪100指數,5175.79,+,21.06,0.41
臺灣企業經營101指數,6069.77,+,33.35,0.55
臺灣低波動高股息指數,1442.93,+,4.22,0.29
未含金融保險股指數,8020.63,+,29.53,0.37
未含電子股指數,13468.74,+,35.69,0.27
未含金融電子股指數,11592.07,+,29.07,0.25
水泥窯製類指數,568.32,+,5.15,0.91
塑膠化工類指數,807.61,-,1.98,-0.24
機電類指數,2139.59,+,8.79,0.41
水泥類指數,144.25,+,1.54,1.08
食品類指數,1254.93,-,0.5,-0.04
塑膠類指數,222.92,-,1.11,-0.5
紡織纖維類指數,535.59,+,1.4,0.26
電機機械類指數,162,-,0.66,-0.41
電器電纜類指數,36.88,+,0.02,0.05
化學生技醫療類指數,102.58,-,0.19,-0.18
化學類指數,101.19,-,0.22,-0.22
生技醫療類指數,73.52,-,0.1,-0.14
玻璃陶瓷類指數,57.3,+,0.07,0.12
造紙類指數,167.04,+,0.09,0.05
鋼鐵類指數,101.36,+,0.66,0.66
橡膠類指數,387.37,+,2.53,0.66
汽車類指數,334.55,-,0.74,-0.22
電子類指數,380.39,+,1.68,0.44
半導體類指數,126.66,+,0.52,0.41
電腦及週邊設備類指數,105.71,+,0.48,0.46
光電類指數,42.06,+,0.05,0.12
通信網路類指數,119.93,-,0.09,-0.07
電子零組件類指數,92.49,+,0.44,0.48
電子通路類指數,118.5,-,0.38,-0.32
資訊服務類指數,101.3,-,0.41,-0.4
其他電子類指數,80.63,+,1.08,1.36
建材營造類指數,283.42,-,0.3,-0.11
航運類指數,92.86,+,0.77,0.84
觀光類指數,121.38,-,0.43,-0.35
金融保險類指數,1097.77,+,3.29,0.3
貿易百貨類指數,245.59,-,0.19,-0.08
油電燃氣類指數,90.65,+,0.84,0.94
其他類指數,264.29,+,3.74,1.44
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11314.95,+,34.01,0.3
發行量加權股價報酬指數,14460.27,+,51.91,0.36
臺灣50報酬指數,10696.4,+,48.96,0.46
臺灣中型100報酬指數,10764.36,+,38.55,0.36
臺灣資訊科技報酬指數,12310.76,+,50.25,0.41
臺灣發達報酬指數,11264.3,+,61.12,0.55
臺灣高股息報酬指數,9783.03,+,7.18,0.07
臺灣就業99報酬指數,6447.24,+,22.06,0.34
臺灣高薪100報酬指數,5217.93,+,21.23,0.41
臺灣企業經營101報酬指數,6483.88,+,35.61,0.55
臺灣低波動高股息報酬指數,2833.2,+,8.29,0.29
未含金融電子股報酬指數,17819.15,+,44.69,0.25
水泥類報酬指數,190.89,+,2.04,1.08
食品類報酬指數,1451.86,-,0.57,-0.04
塑膠類報酬指數,277.3,-,1.38,-0.5
紡織纖維類報酬指數,655.93,+,1.72,0.26
電機機械類報酬指數,194.46,-,0.8,-0.41
電器電纜類報酬指數,41.27,+,0.02,0.05
