106/05/26,81000,1733150,21.35,21.65,21.20,21.30,+0.10,48
106/05/25,14000,296500,21.30,21.30,21.05,21.20,-0.10,10
106/05/24,34000,724550,21.45,21.45,21.15,21.30,-0.15,27
106/05/23,103000,2205250,21.30,21.70,21.05,21.45,+0.15,76
106/05/22,132006,2770726,20.55,21.30,20.50,21.30,+0.95,66
106/05/19,12000,245000,20.40,20.55,20.35,20.35,-0.05,9
106/05/18,33000,671050,20.40,20.50,20.20,20.40,-0.25,14
106/05/17,21000,434500,20.80,20.80,20.60,20.65,-0.05,13
106/05/16,99362,2080529,20.70,21.40,20.65,20.70,+0.15,53
106/05/15,67000,1393700,20.45,21.60,20.45,20.55,+0.10,37
106/05/12,46636,956060,20.30,20.80,20.15,20.45,+0.20,23
106/05/11,26000,526850,20.40,20.40,20.20,20.25,+0.05,13
106/05/10,20000,406100,20.30,20.45,20.20,20.20,-0.05,8
106/05/09,64000,1296550,20.40,20.60,20.00,20.25,-0.15,44
106/05/08,61000,1244000,20.45,20.45,20.30,20.40,+0.10,15
106/05/05,72000,1461000,20.30,20.35,20.25,20.30,0.00,26
106/05/04,48000,972250,20.30,20.30,20.20,20.30,0.00,18
106/05/03,38000,766100,20.10,20.30,20.10,20.30,+0.05,17
106/05/02,25100,506694,20.40,20.40,20.05,20.25,-0.05,24
106/04/28,25000,509200,20.45,20.45,20.30,20.30,-0.05,9
106/04/27,34200,697160,20.20,20.50,20.20,20.35,+0.25,26
106/04/26,43041,870982,20.15,20.40,20.05,20.10,+0.10,29
106/04/25,61020,1224998,20.10,20.20,20.00,20.00,-0.05,37
106/04/24,31000,620800,20.10,20.10,19.95,20.05,-0.10,12
106/04/21,37008,746661,20.20,20.25,20.10,20.15,0.00,18
106/04/20,43000,864950,20.10,20.30,20.00,20.15,+0.05,23
106/04/19,34150,688994,19.95,20.45,19.95,20.10,-0.05,19
106/04/18,50008,1004960,20.05,20.35,20.00,20.15,+0.15,30
106/04/17,52000,1047850,20.15,20.30,19.95,20.00,-0.10,25
106/04/14,91000,1851650,20.60,20.70,20.10,20.10,-0.55,53
106/04/13,47044,979106,20.60,21.00,20.60,20.65,+0.05,32
106/04/12,65000,1346750,20.90,21.00,20.55,20.60,-0.25,34
106/04/11,46000,956900,20.90,20.95,20.75,20.85,-0.10,28
106/04/10,35000,738000,21.00,21.25,20.95,20.95,-0.10,19
106/04/07,33000,696000,21.35,21.35,21.05,21.05,-0.10,16
106/04/06,22000,468900,21.30,21.50,21.15,21.15,+0.05,20
106/04/05,30001,633521,21.00,21.65,21.00,21.10,+0.10,16
106/03/31,49000,1030500,20.75,21.20,20.70,21.00,+0.15,28
106/03/30,69000,1433550,20.95,21.00,20.60,20.85,0.00,32
106/03/29,131000,2719750,21.15,21.20,20.70,20.85,-0.55,38
106/03/28,64048,1364421,21.90,21.90,20.50,21.40,-0.55,48
106/03/27,69000,1513800,21.95,22.10,21.80,21.95,+0.05,38
106/03/24,96500,2105750,21.80,22.15,21.65,21.90,+0.30,57
106/03/23,78007,1692547,21.90,21.90,21.60,21.60,-0.30,49
106/03/22,56021,1216856,21.65,21.90,21.60,21.90,+0.20,41
106/03/21,52000,1142500,22.10,22.20,21.70,21.70,-0.35,39
106/03/20,87550,1933645,22.30,22.30,22.00,22.05,-0.20,54
106/03/17,67331,1498264,22.20,22.45,22.15,22.25,+0.05,51
106/03/16,79056,1768787,22.65,22.75,22.15,22.20,-0.10,62
106/03/15,404000,9183500,22.50,23.25,22.30,22.30,+0.45,281
106/03/14,59134,1297157,21.80,22.05,21.80,21.85,+0.15,39
106/03/13,40211,867328,21.55,21.70,21.50,21.70,+0.20,20
106/03/10,23000,493750,21.75,21.75,21.30,21.50,-0.10,13
106/03/09,35000,751450,21.50,21.60,21.40,21.60,+0.10,23
106/03/08,15000,324500,21.70,21.80,21.50,21.50,-0.30,14
106/03/07,39100,853918,21.85,21.90,21.80,21.80,+0.05,25
106/03/06,32101,700631,21.85,22.00,21.75,21.75,-0.10,18
106/03/03,90556,1969865,21.80,21.90,21.60,21.85,+0.35,46
106/03/02,89000,1953800,22.20,22.20,21.50,21.50,-0.65,53
106/03/01,90000,1990850,22.30,22.30,21.90,22.15,-0.25,48
106/02/24,79657,1771483,22.30,22.40,22.00,22.40,+0.20,46
106/02/23,103000,2298250,22.30,22.55,22.15,22.20,-0.05,70
106/02/22,161101,3587432,22.20,22.45,22.10,22.25,+0.45,106
106/02/21,67000,1466900,22.00,22.00,21.80,21.80,-0.05,33
106/02/20,141002,3105343,22.20,22.25,21.85,21.85,-0.45,88
106/02/18,110000,2465850,22.55,22.60,22.30,22.30,-0.25,63
106/02/17,111013,2528891,22.55,23.15,22.55,22.55,0.00,81
106/02/16,106239,2389427,22.45,22.60,22.40,22.55,-0.05,68
106/02/15,355000,8091750,23.00,23.20,22.35,22.60,-0.20,185
106/02/14,903001,21084773,22.60,24.25,22.25,22.80,+0.40,563
106/02/13,248400,5505520,22.05,22.40,21.90,22.40,+0.40,162
106/02/10,569000,12602700,21.35,22.65,21.30,22.00,+0.75,384
106/02/09,112400,2373730,20.95,21.30,20.95,21.25,+0.30,84
106/02/08,89000,1859900,20.80,21.15,20.75,20.95,+0.20,65
106/02/07,113333,2347009,20.75,20.80,20.65,20.75,+0.10,60
106/02/06,257011,5344475,20.40,21.10,20.40,20.65,+0.35,158
106/02/03,162000,3289250,20.20,20.45,20.00,20.30,+0.15,95
106/02/02,19000,382500,19.90,20.25,19.90,20.15,+0.20,17
106/01/24,26000,519150,20.00,20.05,19.90,19.95,-0.05,17
106/01/23,25000,500900,20.05,20.05,20.00,20.00,0.00,17
106/01/20,56000,1120850,20.10,20.10,20.00,20.00,0.00,19
106/01/19,36000,721750,20.05,20.20,20.00,20.00,0.00,26
106/01/18,51469,1029082,19.95,20.05,19.90,20.00,0.00,27
106/01/17,39000,779300,20.00,20.00,19.90,20.00,-0.10,17
106/01/16,58014,1157230,19.90,20.10,19.80,20.10,+0.15,32
106/01/13,19000,378450,19.90,19.95,19.90,19.95,-0.10,14
106/01/12,34000,681050,19.95,20.10,19.95,20.05,+0.10,21
106/01/11,36120,722812,19.95,20.05,19.95,19.95,-0.10,26
106/01/10,42005,842299,20.15,20.15,19.95,20.05,+0.05,31
106/01/09,243000,4922400,20.10,20.60,20.00,20.00,-0.10,157
106/01/06,56013,1126710,20.25,20.25,20.00,20.10,+0.05,29
106/01/05,75000,1507300,20.15,20.15,20.00,20.05,-0.10,52
106/01/04,63000,1265300,19.90,20.25,19.90,20.15,+0.30,53
106/01/03,9000,178800,19.85,19.90,19.80,19.85,0.00,4
