106/05/26,261,1161,---,---,---,---,---,1
106/05/25,12478,55501,4.26,4.60,4.26,4.40,-0.20,9
106/05/24,6478,29640,4.31,4.97,4.31,4.60,-0.12,7
106/05/23,115,490,---,---,---,---,---,2
106/05/22,15500,73230,4.74,4.74,4.72,4.72,-0.29,8
106/05/19,8002,40120,5.02,5.02,5.01,5.01,-0.39,7
106/05/18,70,346,---,---,---,---,---,1
106/05/17,26292,142062,5.65,5.65,5.31,5.40,-0.25,19
106/05/16,16670,94814,5.71,5.71,5.60,5.65,-0.27,14
106/05/15,30000,173150,5.81,5.92,5.72,5.92,-0.11,16
106/05/12,19092,112875,6.30,6.30,5.82,6.03,-0.27,13
106/05/11,7000,43510,5.99,6.32,5.99,6.30,+0.30,7
106/05/10,671,4005,---,---,---,---,---,2
106/05/09,564,3045,---,---,---,---,---,2
106/05/08,3000,18000,6.00,6.00,6.00,6.00,0.00,3
106/05/05,6035,35636,5.90,6.00,5.80,6.00,+0.07,6
106/05/04,9003,52445,5.80,5.93,5.80,5.93,+0.19,9
106/05/03,2000,11290,5.55,5.74,5.55,5.74,0.00,2
106/05/02,4000,22390,5.55,5.74,5.55,5.74,+0.19,4
106/04/28,19000,107210,5.70,5.74,5.55,5.55,-0.20,11
106/04/27,9000,51580,5.71,5.75,5.70,5.75,-0.05,6
106/04/26,0,0,---,---,---,---,---,0
106/04/25,22000,126950,5.66,5.85,5.66,5.80,+0.05,7
106/04/24,1000,5750,5.75,5.75,5.75,5.75,-0.07,1
106/04/21,2001,11645,5.82,5.82,5.82,5.82,-0.18,2
106/04/20,15000,90210,6.30,6.30,5.82,6.00,-0.20,10
106/04/19,15409,87791,5.65,6.20,5.60,6.20,+0.52,16
106/04/18,3009,17375,6.00,6.00,5.65,5.68,-0.02,12
106/04/17,17000,97340,5.85,5.85,5.59,5.70,-0.05,14
106/04/14,9000,53750,6.00,6.00,5.75,5.75,-0.15,6
106/04/13,26035,158516,6.15,6.15,5.90,5.90,-0.25,13
106/04/12,15124,87414,5.75,6.15,5.72,6.15,+0.08,11
106/04/11,1000,6070,6.07,6.07,6.07,6.07,+0.08,1
106/04/10,6000,34960,5.75,6.00,5.71,5.99,-0.10,5
106/04/07,2004,12204,6.09,6.09,6.09,6.09,0.00,2
106/04/06,29883,174960,5.90,6.09,5.80,6.09,+0.14,21
106/04/05,4515,26964,6.00,6.00,5.95,5.95,-0.05,5
106/03/31,871,5226,---,---,---,---,---,5
106/03/30,19000,115570,6.19,6.19,6.00,6.00,-0.13,8
106/03/29,6141,37617,6.19,6.19,6.09,6.13,+0.04,6
106/03/28,18823,115685,6.20,6.20,6.09,6.09,-0.22,11
106/03/27,38123,241303,6.39,6.42,6.21,6.31,-0.04,21
106/03/24,32000,199740,6.18,6.44,6.18,6.35,-0.15,14
106/03/23,42215,268941,6.60,6.60,6.22,6.50,-0.10,26
106/03/22,26409,169777,6.42,6.60,6.36,6.60,-0.10,20
106/03/21,30965,204001,6.65,6.70,6.41,6.70,-0.14,16
106/03/20,35035,236047,6.60,6.85,6.60,6.84,+0.24,15
106/03/17,79000,533330,6.70,6.93,6.55,6.60,+0.09,39
106/03/16,14070,91132,6.46,6.51,6.31,6.51,+0.05,10
106/03/15,28035,181124,6.43,6.59,6.43,6.46,+0.05,19
106/03/14,19930,128005,6.51,6.79,6.35,6.41,-0.48,14
106/03/13,3706,24859,6.74,6.89,6.74,6.89,+0.15,6
106/03/10,45000,308480,6.35,6.97,6.35,6.74,+0.39,23
106/03/09,9246,58692,6.35,6.35,6.35,6.35,-0.25,3
106/03/08,9177,58603,6.35,6.60,6.35,6.60,+0.21,8
106/03/07,10706,67942,6.35,6.40,6.30,6.39,+0.04,11
106/03/06,3000,19230,6.45,6.45,6.35,6.35,+0.05,3
106/03/03,8050,50661,6.21,6.50,6.21,6.30,-0.36,7
106/03/02,3000,19980,6.66,6.66,6.66,6.66,-0.04,1
106/03/01,5006,33540,6.70,6.70,6.70,6.70,0.00,5
106/02/24,5163,32837,6.31,6.70,6.31,6.70,+0.37,10
106/02/23,3615,22257,6.15,6.33,6.15,6.33,+0.10,7
106/02/22,17002,106831,6.33,6.33,6.23,6.23,+0.02,13
106/02/21,38007,246363,6.50,6.50,6.21,6.21,-0.26,20
106/02/20,18214,113558,6.20,6.49,6.17,6.47,+0.27,15
106/02/18,10000,62000,6.20,6.20,6.20,6.20,0.00,5
106/02/17,26088,158223,6.00,6.22,6.00,6.20,+0.20,13
106/02/16,7000,42000,6.00,6.00,6.00,6.00,0.00,3
106/02/15,5176,31022,6.00,6.00,6.00,6.00,+0.05,4
106/02/14,43693,265100,6.33,6.33,5.95,5.95,-0.15,16
106/02/13,4000,24600,6.30,6.30,6.10,6.10,-0.14,3
106/02/10,38035,231293,6.40,6.40,6.00,6.24,-0.06,20
106/02/09,8355,52426,6.15,6.33,6.15,6.30,+0.20,8
106/02/08,16000,97450,6.05,6.10,6.05,6.10,+0.20,10
106/02/07,8000,47460,6.01,6.25,5.86,5.90,-0.11,6
106/02/06,7388,45103,6.30,6.30,6.01,6.01,+0.06,7
106/02/03,40488,241286,5.92,6.10,5.92,5.95,-0.35,15
106/02/02,2270,13930,6.01,6.30,6.01,6.30,+0.10,5
106/01/24,7239,43010,5.90,6.20,5.90,6.20,+0.30,3
106/01/23,29000,174590,6.20,6.44,5.85,5.90,-0.39,21
106/01/20,6000,37910,6.20,6.50,6.20,6.29,+0.18,6
106/01/19,11126,67923,6.11,6.11,6.09,6.11,+0.02,9
106/01/18,21002,121202,5.75,6.09,5.75,6.09,+0.34,10
106/01/17,6176,35312,5.56,5.75,5.56,5.75,+0.23,6
106/01/16,15000,82820,5.52,5.53,5.52,5.52,-0.26,5
106/01/13,2353,13540,5.78,5.78,5.78,5.78,+0.03,3
106/01/12,11566,64104,5.51,5.75,5.51,5.75,+0.17,5
106/01/11,27006,149613,5.50,5.60,5.50,5.58,-0.21,14
106/01/10,23000,128570,5.65,5.79,5.41,5.79,-0.03,10
106/01/09,14000,78730,5.82,5.82,5.56,5.82,0.00,11
106/01/06,0,0,---,---,---,---,---,0
106/01/05,12234,67145,5.41,5.82,5.32,5.82,+0.41,11
106/01/04,14353,80410,5.75,5.75,5.41,5.41,-0.21,11
106/01/03,14000,79180,5.76,5.76,5.62,5.62,-0.23,6
