106/05/26,23000,111580,4.86,4.86,4.85,4.85,0.00,2
106/05/25,68000,339940,5.00,5.29,4.85,4.85,0.00,8
106/05/24,1000,4850,4.85,4.85,4.85,4.85,+0.42,1
106/05/23,75000,332210,4.60,4.60,4.05,4.43,-0.07,24
106/05/22,44000,206110,4.95,4.95,4.50,4.50,-0.45,13
106/05/19,46000,225410,4.90,5.07,4.80,4.95,+0.07,11
106/05/18,11000,53830,4.93,4.93,4.88,4.88,-0.21,2
106/05/17,31000,153890,5.33,5.33,4.90,5.09,+0.21,8
106/05/16,6000,29520,4.90,5.06,4.88,4.88,-0.12,3
106/05/15,19000,94940,4.91,5.20,4.91,5.00,0.00,6
106/05/12,29000,143520,4.91,5.06,4.90,5.00,-0.06,6
106/05/11,14000,69240,4.91,5.18,4.90,5.06,+0.06,6
106/05/10,12000,60000,5.00,5.00,5.00,5.00,-0.10,3
106/05/09,6001,31105,5.20,5.20,5.10,5.10,+0.10,5
106/05/08,22010,109859,4.61,5.20,4.61,5.00,0.00,5
106/05/05,23001,115004,5.00,5.00,5.00,5.00,-0.20,8
106/05/04,5000,26340,5.50,5.50,5.20,5.20,-0.30,3
106/05/03,2001,10906,5.40,5.50,5.40,5.50,0.00,3
106/05/02,32000,176000,5.50,5.50,5.50,5.50,+0.10,5
106/04/28,7000,37700,5.35,5.40,5.35,5.40,+0.11,5
106/04/27,78000,409790,5.00,5.30,5.00,5.29,+0.29,13
106/04/26,33000,165750,5.10,5.10,5.00,5.00,-0.10,12
106/04/25,17000,86910,5.31,5.31,5.10,5.10,+0.09,9
106/04/24,0,0,---,---,---,---,---,0
106/04/21,11000,54690,4.60,5.01,4.60,5.01,+0.01,5
106/04/20,94000,480580,5.03,5.20,4.94,5.00,-0.48,21
106/04/19,1000,5480,5.48,5.48,5.48,5.48,+0.13,1
106/04/18,8000,42800,5.35,5.35,5.35,5.35,+0.25,2
106/04/17,31053,162825,5.65,5.65,5.10,5.10,-0.50,10
106/04/14,1000,5600,5.60,5.60,5.60,5.60,+0.39,1
106/04/13,14000,73040,5.31,5.31,5.21,5.21,-0.37,6
