107/11/14,2000,120000,60.00,60.00,60.00,60.00,0.00,2
107/11/15,0,0,---,---,---,---,---,0
107/11/16,0,0,---,---,---,---,---,0
107/11/19,0,0,---,---,---,---,---,0
107/11/20,0,0,---,---,---,---,---,0
107/11/21,2000,119500,59.75,59.75,59.75,59.75,0.00,2
107/11/23,2000,119500,59.75,59.75,59.75,59.75,0.00,2
107/11/26,2000,119500,59.75,59.75,59.75,59.75,0.00,2
107/11/27,2000,119500,59.75,59.75,59.75,59.75,0.00,2
107/11/28,2000,119500,59.75,59.75,59.75,59.75,0.00,2
107/11/29,2000,116600,58.30,58.30,58.30,58.30,-1.45,2
107/11/30,2000,116600,58.30,58.30,58.30,58.30,0.00,2
