105/03/31,0,0,--,--,--,--,,0
105/04/01,0,0,--,--,--,--,,0
105/04/06,0,0,--,--,--,--,,0
105/04/07,0,0,--,--,--,--,,0
105/04/08,16000,104800,6.55,6.55,6.55,6.55,X,1
105/04/11,16000,103200,6.45,6.45,6.45,6.45,-0.10,1
105/04/12,0,0,--,--,--,--,,0
105/04/13,46000,292900,6.40,6.40,6.35,6.35,X,3
105/04/14,125000,817250,6.55,6.55,6.50,6.50,0.15,2
105/04/15,0,0,--,--,--,--,,0
105/04/18,1000,6550,6.55,6.55,6.55,6.55,X,1
105/04/19,5000,32550,6.55,6.55,6.50,6.50,-0.05,3
105/04/20,0,0,--,--,--,--,,0
105/04/21,2006000,12738100,6.35,6.35,6.35,6.35,X,10
105/04/22,0,0,--,--,--,--,,0
105/04/25,8010000,50062500,6.25,6.25,6.25,6.25,X,39
105/04/26,5000000,32250000,6.45,6.45,6.45,6.45,0.20,25
105/04/27,196000,1274000,6.55,6.55,6.45,6.45,,2
105/04/28,4000,25200,6.30,6.30,6.30,6.30,-0.15,1
105/04/29,6000,37750,6.30,6.30,6.25,6.25,-0.05,3
105/05/03,380000,2371700,6.25,6.30,6.20,6.25,,6
105/05/04,94000,574900,6.15,6.15,6.10,6.10,-0.15,6
105/05/05,50000,295000,5.90,5.90,5.90,5.90,-0.20,3
105/05/06,38000,219750,5.80,5.80,5.75,5.75,-0.15,2
105/05/09,0,0,--,--,--,--,,0
