101/04/26,1000,11000,11.00,11.00,11.00,11.00,-0.30,1
101/04/27,1000,10800,10.80,10.80,10.80,10.80,-0.20,1
101/04/30,0,0,---,---,---,---,---,0
101/05/02,1000,11300,11.30,11.30,11.30,11.30,+0.30,1
101/05/03,0,0,---,---,---,---,---,0
101/05/04,1000,10500,10.50,10.50,10.50,10.50,-0.40,1
101/05/07,1000,10000,10.00,10.00,10.00,10.00,-0.50,1
101/05/08,0,0,---,---,---,---,---,0
101/05/09,0,0,---,---,---,---,---,0
101/05/10,0,0,---,---,---,---,---,0
101/05/11,0,0,---,---,---,---,---,0
101/05/14,0,0,---,---,---,---,---,0
101/05/15,0,0,---,---,---,---,---,0
101/05/16,0,0,---,---,---,---,---,0
101/05/17,0,0,---,---,---,---,---,0
101/05/18,0,0,---,---,---,---,---,0
101/05/21,0,0,---,---,---,---,---,0
101/05/22,0,0,---,---,---,---,---,0
101/05/23,0,0,---,---,---,---,---,0
101/05/24,0,0,---,---,---,---,---,0
101/05/25,2000,9560,4.78,4.78,4.78,4.78,-1.82,1
