100/01/17,0,0,0.00,0.00,0.00,0.00,---,0
100/01/18,0,0,0.00,0.00,0.00,0.00,---,0
100/01/19,0,0,0.00,0.00,0.00,0.00,---,0
100/01/20,5000,2050,0.41,0.41,0.41,0.41,-0.29,1
100/01/21,5000,2000,0.40,0.40,0.40,0.40,-0.01,1
100/01/24,0,0,0.00,0.00,0.00,0.00,---,0
100/01/25,0,0,0.00,0.00,0.00,0.00,---,0
100/01/26,3000,1170,0.39,0.39,0.39,0.39,-0.01,1
100/01/27,0,0,0.00,0.00,0.00,0.00,---,0
100/01/28,0,0,0.00,0.00,0.00,0.00,---,0
100/02/08,0,0,0.00,0.00,0.00,0.00,---,0
100/02/09,3000,960,0.32,0.32,0.32,0.32,-0.07,1
100/02/10,39000,14810,0.37,0.38,0.37,0.38,+0.06,2
100/02/11,232000,91740,0.41,0.41,0.39,0.41,+0.03,8
100/02/14,72000,29100,0.41,0.42,0.38,0.38,-0.03,4
100/02/15,70000,26000,0.38,0.38,0.36,0.36,-0.02,2
100/02/16,150000,51000,0.34,0.34,0.34,0.34,-0.02,1
100/02/17,0,0,0.00,0.00,0.00,0.00,---,0
100/02/18,0,0,0.00,0.00,0.00,0.00,---,0
100/02/21,0,0,0.00,0.00,0.00,0.00,---,0
100/02/22,99000,40590,0.41,0.41,0.41,0.41,+0.07,1
100/02/23,43000,18790,0.43,0.44,0.43,0.43,+0.02,4
100/02/24,40000,16400,0.41,0.41,0.41,0.41,-0.02,1
100/02/25,99000,42570,0.43,0.43,0.43,0.43,+0.02,2
100/03/01,0,0,0.00,0.00,0.00,0.00,---,0
100/03/02,0,0,0.00,0.00,0.00,0.00,---,0
100/03/03,0,0,0.00,0.00,0.00,0.00,---,0
100/03/04,0,0,0.00,0.00,0.00,0.00,---,0
100/03/07,5000,1640,0.31,0.34,0.31,0.34,-0.09,3
100/03/08,2000,660,0.33,0.33,0.33,0.33,-0.01,1
100/03/09,0,0,0.00,0.00,0.00,0.00,---,0
100/03/10,0,0,0.00,0.00,0.00,0.00,---,0
100/03/11,0,0,0.00,0.00,0.00,0.00,---,0
100/03/14,0,0,0.00,0.00,0.00,0.00,---,0
100/03/15,130000,56330,0.40,0.51,0.40,0.51,+0.18,5
100/03/16,153000,66430,0.44,0.45,0.43,0.43,-0.08,4
100/03/17,70000,29400,0.42,0.42,0.42,0.42,-0.01,1
100/03/18,0,0,0.00,0.00,0.00,0.00,---,0
100/03/21,0,0,0.00,0.00,0.00,0.00,---,0
100/03/22,0,0,0.00,0.00,0.00,0.00,---,0
100/03/23,21000,6040,0.29,0.29,0.28,0.28,-0.14,2
100/03/24,16000,4800,0.30,0.30,0.30,0.30,+0.02,1
100/03/25,99000,28710,0.29,0.29,0.29,0.29,-0.01,1
100/03/28,0,0,0.00,0.00,0.00,0.00,---,0
100/03/29,26000,7540,0.29,0.29,0.29,0.29,0.00,1
100/03/30,0,0,0.00,0.00,0.00,0.00,---,0
100/03/31,0,0,0.00,0.00,0.00,0.00,---,0
100/04/01,0,0,0.00,0.00,0.00,0.00,---,0
100/04/06,0,0,0.00,0.00,0.00,0.00,---,0
100/04/07,26000,6760,0.26,0.26,0.26,0.26,-0.02,1
100/04/08,0,0,0.00,0.00,0.00,0.00,---,0
100/04/11,0,0,0.00,0.00,0.00,0.00,---,0
100/04/12,2000,480,0.24,0.24,0.24,0.24,0.00,1
