100/10/07,0,0,0.00,0.00,0.00,0.00,---,0
100/10/11,153000,100980,0.66,0.66,0.66,0.66,-0.05,5
100/10/12,238000,160650,0.68,0.68,0.67,0.67,+0.01,4
100/10/13,552000,355940,0.67,0.68,0.62,0.66,-0.01,21
100/10/14,258000,168740,0.66,0.67,0.64,0.65,-0.01,13
100/10/17,160000,90250,0.58,0.58,0.56,0.56,-0.09,7
100/10/18,18000,10070,0.56,0.56,0.55,0.55,-0.01,3
100/10/19,36000,20220,0.58,0.58,0.55,0.56,+0.01,6
100/10/20,291000,149390,0.50,0.52,0.49,0.51,-0.05,12
100/10/21,564000,296820,0.53,0.54,0.50,0.51,0.00,13
100/10/24,611000,311600,0.50,0.52,0.48,0.51,0.00,13
100/10/25,446000,241930,0.51,0.59,0.51,0.59,+0.08,15
100/10/26,531000,325110,0.65,0.65,0.57,0.58,-0.01,24
100/10/27,81000,46320,0.56,0.58,0.56,0.57,-0.01,5
100/10/28,852000,434450,0.55,0.55,0.50,0.53,-0.04,29
100/10/31,363000,160400,0.53,0.53,0.42,0.45,-0.08,25
100/11/01,1392000,561480,0.40,0.43,0.38,0.39,-0.06,47
100/11/02,2409000,844150,0.39,0.39,0.33,0.33,-0.06,52
100/11/03,1835000,591030,0.33,0.34,0.31,0.34,+0.01,67
100/11/04,1257000,387050,0.31,0.33,0.29,0.29,-0.05,33
100/11/07,817000,240100,0.29,0.30,0.29,0.30,+0.01,13
100/11/08,776000,227110,0.33,0.33,0.25,0.32,+0.02,40
100/11/09,466000,147500,0.32,0.33,0.31,0.31,-0.01,13
100/11/10,412000,122980,0.31,0.32,0.25,0.25,-0.06,20
100/11/11,439000,132530,0.25,0.32,0.25,0.29,+0.04,16
100/11/14,406000,99460,0.25,0.25,0.23,0.24,-0.05,23
100/11/15,45000,11600,0.26,0.27,0.25,0.25,+0.01,7
100/11/16,551000,127680,0.26,0.26,0.22,0.25,0.00,28
100/11/17,283000,72250,0.25,0.30,0.23,0.30,+0.05,20
100/11/18,249000,64440,0.26,0.28,0.25,0.25,-0.05,11
100/11/21,118000,31330,0.24,0.28,0.24,0.28,+0.03,5
100/11/22,1543000,439350,0.29,0.31,0.27,0.28,0.00,53
100/11/23,538000,166330,0.32,0.32,0.26,0.28,0.00,17
100/11/24,1928000,621320,0.31,0.35,0.29,0.32,+0.04,90
100/11/25,2293000,806690,0.33,0.39,0.30,0.35,+0.03,90
100/11/28,513000,178740,0.32,0.36,0.32,0.35,0.00,47
100/11/29,374000,116620,0.29,0.35,0.28,0.28,-0.07,16
100/11/30,757000,224180,0.29,0.33,0.27,0.32,+0.04,22
100/12/01,368000,107320,0.29,0.31,0.28,0.31,-0.01,9
100/12/02,266000,74290,0.28,0.29,0.27,0.28,-0.03,72
100/12/05,580000,152510,0.29,0.29,0.25,0.27,-0.01,16
100/12/06,519000,166200,0.28,0.35,0.28,0.35,+0.08,21
100/12/07,1213000,457110,0.35,0.43,0.34,0.43,+0.08,47
100/12/08,1048000,491980,0.43,0.57,0.42,0.50,+0.07,50
100/12/09,984000,429430,0.55,0.55,0.41,0.45,-0.05,34
100/12/12,1012000,456340,0.44,0.47,0.42,0.47,+0.02,36
100/12/13,944000,466530,0.47,0.60,0.43,0.53,+0.06,48
100/12/14,1923000,1025440,0.63,0.65,0.45,0.47,-0.06,75
100/12/15,761000,350090,0.47,0.47,0.45,0.47,0.00,32
100/12/16,755000,381390,0.46,0.53,0.46,0.51,+0.04,30
100/12/19,851000,432160,0.53,0.53,0.49,0.52,+0.01,27
100/12/20,1309000,627530,0.52,0.52,0.46,0.50,-0.02,37
100/12/21,587000,233030,0.44,0.44,0.34,0.39,-0.11,26
100/12/22,905000,356920,0.40,0.41,0.39,0.39,0.00,104
100/12/23,200000,68960,0.38,0.39,0.32,0.36,-0.03,13
100/12/26,245000,78350,0.34,0.35,0.28,0.31,-0.05,14
100/12/27,845000,281060,0.33,0.34,0.32,0.33,+0.02,20
100/12/28,835000,271230,0.33,0.34,0.31,0.34,+0.01,19
100/12/29,537000,189000,0.36,0.37,0.33,0.37,+0.03,18
100/12/30,227000,80220,0.33,0.38,0.33,0.38,+0.01,7
101/01/02,526000,218110,0.40,0.45,0.39,0.45,+0.07,26
101/01/03,700000,303680,0.42,0.45,0.41,0.41,-0.04,27
101/01/04,381000,151070,0.36,0.43,0.34,0.43,+0.02,12
101/01/05,95000,39030,0.44,0.44,0.39,0.41,-0.02,6
101/01/06,220000,81830,0.36,0.39,0.36,0.39,-0.02,10
101/01/09,349000,144790,0.42,0.43,0.41,0.43,+0.04,8
101/01/10,203000,84410,0.40,0.43,0.40,0.42,-0.01,5
101/01/11,454000,173150,0.39,0.39,0.37,0.38,-0.04,11
101/01/12,300000,111470,0.39,0.39,0.37,0.39,+0.01,9
101/01/13,400000,155440,0.38,0.40,0.38,0.40,+0.01,8
101/01/16,356000,139920,0.39,0.40,0.39,0.40,0.00,7
101/01/17,548000,186230,0.36,0.36,0.33,0.33,-0.07,14
101/01/18,477000,163410,0.35,0.36,0.33,0.34,+0.01,12
101/01/30,33000,8880,0.26,0.27,0.26,0.27,-0.07,3
101/01/31,315000,69620,0.27,0.27,0.21,0.22,-0.05,9
101/02/01,409000,66580,0.19,0.19,0.15,0.17,-0.05,8
101/02/02,160000,26500,0.15,0.18,0.15,0.17,0.00,5
101/02/03,354000,48120,0.15,0.15,0.12,0.13,-0.04,9
101/02/04,354000,37180,0.10,0.13,0.09,0.13,0.00,8
101/02/06,67000,8060,0.12,0.13,0.12,0.13,0.00,5
101/02/07,285000,42250,0.13,0.19,0.13,0.16,+0.03,12
101/02/08,338000,39940,0.14,0.14,0.10,0.10,-0.06,10
101/02/09,468000,32400,0.07,0.09,0.06,0.07,-0.03,9
101/02/10,157000,9920,0.07,0.07,0.06,0.06,-0.01,3
101/02/13,476000,27620,0.11,0.11,0.05,0.06,0.00,6
101/02/14,0,0,---,---,---,---,---,0
101/02/15,289000,10700,0.05,0.06,0.03,0.06,0.00,7
101/02/16,129000,9030,0.07,0.07,0.07,0.07,+0.01,3
101/02/17,0,0,---,---,---,---,---,0
101/02/20,11000,440,0.04,0.04,0.04,0.04,-0.02,1
101/02/21,2000,110,0.05,0.06,0.05,0.06,+0.02,2
101/02/22,10000,400,0.04,0.04,0.04,0.04,-0.02,1
101/02/23,0,0,---,---,---,---,---,0
101/02/24,277000,5550,0.03,0.03,0.02,0.02,-0.02,5
101/02/29,0,0,---,---,---,---,---,0
101/03/01,4000,160,0.04,0.04,0.04,0.04,+0.01,1
101/03/02,0,0,---,---,---,---,---,0
101/03/03,72000,2160,0.03,0.03,0.03,0.03,-0.01,5
101/03/05,13000,640,0.04,0.05,0.04,0.05,+0.02,3
101/03/06,0,0,---,---,---,---,---,0
101/03/07,0,0,---,---,---,---,---,0
101/03/08,0,0,---,---,---,---,---,0
101/03/09,5000,150,0.03,0.03,0.03,0.03,-0.02,2
101/03/12,0,0,---,---,---,---,---,0
101/03/13,100000,2000,0.02,0.02,0.02,0.02,-0.01,4
101/03/14,197000,3940,0.02,0.02,0.02,0.02,0.00,4
101/03/15,0,0,---,---,---,---,---,0
101/03/16,0,0,---,---,---,---,---,0
101/03/19,0,0,---,---,---,---,---,0
101/03/20,0,0,---,---,---,---,---,0
101/03/21,0,0,---,---,---,---,---,0
101/03/22,0,0,---,---,---,---,---,0
101/03/23,52000,520,0.01,0.01,0.01,0.01,-0.01,4
101/03/26,0,0,---,---,---,---,---,0
101/03/27,0,0,---,---,---,---,---,0
101/03/28,0,0,---,---,---,---,---,0
101/03/29,0,0,---,---,---,---,---,0
101/03/30,0,0,---,---,---,---,---,0
101/04/02,0,0,---,---,---,---,---,0
101/04/03,0,0,---,---,---,---,---,0
