100/10/28,0,0,0.00,0.00,0.00,0.00,---,0
100/10/31,1054000,706380,0.68,0.70,0.64,0.66,-0.01,29
100/11/01,223000,129240,0.60,0.62,0.56,0.60,-0.06,15
100/11/02,108000,61100,0.55,0.61,0.54,0.61,+0.01,7
100/11/03,407000,256100,0.62,0.63,0.60,0.60,-0.01,7
100/11/04,1084000,787610,0.64,0.87,0.64,0.74,+0.14,48
100/11/07,1239000,1033250,0.75,0.89,0.72,0.88,+0.14,46
100/11/08,348000,302400,0.88,0.89,0.85,0.85,-0.03,12
100/11/09,671000,471480,0.82,0.82,0.63,0.64,-0.21,30
100/11/10,514000,312930,0.61,0.71,0.57,0.71,+0.07,22
100/11/11,636000,465080,0.75,0.77,0.67,0.74,+0.03,16
100/11/14,215000,175870,0.73,0.85,0.73,0.82,+0.08,14
100/11/15,168000,128260,0.82,0.82,0.76,0.76,-0.06,10
100/11/16,481000,309120,0.67,0.67,0.62,0.62,-0.14,17
100/11/17,285000,175830,0.62,0.65,0.58,0.61,-0.01,18
100/11/18,38000,25590,0.67,0.70,0.67,0.69,+0.08,5
100/11/21,530000,279610,0.60,0.60,0.50,0.54,-0.15,18
100/11/22,394000,190320,0.50,0.51,0.44,0.50,-0.04,17
100/11/23,270000,133900,0.49,0.53,0.49,0.50,0.00,10
100/11/24,105000,52850,0.50,0.52,0.47,0.51,+0.01,7
100/11/25,387000,157650,0.44,0.45,0.36,0.40,-0.11,12
100/11/28,127000,48240,0.37,0.41,0.36,0.40,0.00,9
100/11/29,786000,404950,0.45,0.65,0.45,0.65,+0.25,23
100/11/30,600000,365280,0.66,0.66,0.57,0.63,-0.02,28
100/12/01,501000,364740,0.65,0.75,0.65,0.74,+0.11,25
100/12/02,392000,291900,0.72,0.75,0.72,0.75,+0.01,24
100/12/05,37000,28140,0.77,0.77,0.72,0.75,0.00,3
100/12/06,160000,102200,0.68,0.68,0.61,0.65,-0.10,8
100/12/07,30000,18100,0.59,0.63,0.59,0.63,-0.02,4
100/12/08,120000,73600,0.60,0.66,0.59,0.66,+0.03,10
100/12/09,102000,67340,0.59,0.69,0.59,0.64,-0.02,7
100/12/12,2000,1220,0.61,0.61,0.61,0.61,-0.03,1
100/12/13,132000,75040,0.59,0.59,0.55,0.56,-0.05,6
100/12/14,100000,55100,0.55,0.56,0.55,0.56,0.00,3
100/12/15,88000,47760,0.54,0.55,0.53,0.53,-0.03,4
100/12/16,226000,142290,0.56,0.66,0.56,0.66,+0.13,10
100/12/19,241000,157250,0.67,0.67,0.60,0.60,-0.06,8
100/12/20,53000,34640,0.64,0.68,0.64,0.67,+0.07,4
100/12/21,572000,438240,0.72,0.82,0.72,0.80,+0.13,21
100/12/22,221000,168200,0.77,0.79,0.71,0.79,-0.01,15
100/12/23,510000,383400,0.75,0.77,0.71,0.76,-0.03,24
100/12/26,848000,684970,0.76,0.85,0.76,0.83,+0.07,31
100/12/27,756000,598120,0.82,0.84,0.76,0.79,-0.04,36
100/12/28,1026000,801470,0.76,0.81,0.75,0.81,+0.02,31
100/12/29,1071000,861120,0.75,0.86,0.75,0.84,+0.03,195
100/12/30,316000,275080,0.89,0.89,0.85,0.86,+0.02,15
101/01/02,907000,629770,0.77,0.79,0.61,0.63,-0.23,30
101/01/03,310000,188600,0.61,0.65,0.56,0.65,+0.02,13
101/01/04,185000,126910,0.69,0.70,0.67,0.68,+0.03,6
101/01/05,164000,115880,0.70,0.73,0.69,0.69,+0.01,5
101/01/06,191000,139580,0.74,0.76,0.68,0.69,0.00,8
101/01/09,536000,319690,0.65,0.65,0.56,0.60,-0.09,17
101/01/10,343000,199430,0.58,0.60,0.57,0.59,-0.01,10
101/01/11,121000,75360,0.62,0.64,0.61,0.62,+0.03,8
101/01/12,20000,11600,0.58,0.58,0.58,0.58,-0.04,1
101/01/13,130000,74500,0.57,0.58,0.56,0.58,0.00,5
101/01/16,155000,92450,0.60,0.63,0.56,0.56,-0.02,7
101/01/17,940000,625650,0.59,0.74,0.59,0.71,+0.15,22
101/01/18,311000,269660,0.77,0.91,0.77,0.91,+0.20,18
101/01/30,230000,212800,0.93,0.98,0.90,0.90,-0.01,10
101/01/31,66000,60060,0.90,0.92,0.90,0.92,+0.02,2
101/02/01,71000,71740,1.04,1.04,0.99,0.99,+0.07,4
101/02/02,40000,40300,1.00,1.03,1.00,1.03,+0.04,3
101/02/03,90000,78000,0.94,0.94,0.82,0.83,-0.20,5
101/02/04,61000,54840,0.86,0.96,0.84,0.96,+0.13,4
101/02/06,40000,34000,0.86,0.86,0.84,0.84,-0.12,2
101/02/07,40000,34600,0.89,0.89,0.84,0.84,0.00,2
101/02/08,155000,144050,0.89,0.95,0.89,0.95,+0.11,7
101/02/09,34000,37250,1.05,1.18,1.05,1.18,+0.23,5
101/02/10,8000,8800,1.10,1.10,1.10,1.10,-0.08,1
101/02/13,20000,21200,1.07,1.07,1.05,1.05,-0.05,2
101/02/14,132000,120860,0.94,0.94,0.89,0.93,-0.12,6
101/02/15,238000,196630,0.90,0.90,0.78,0.90,-0.03,14
