100/11/14,0,0,----,----,----,---,---,0
100/11/15,0,0,---,---,---,---,---,0
100/11/16,0,0,---,---,---,---,---,0
100/11/17,0,0,---,---,---,---,---,0
100/11/18,0,0,---,---,---,---,---,0
100/11/21,0,0,---,---,---,---,---,0
100/11/22,0,0,---,---,---,---,---,0
100/11/23,0,0,---,---,---,---,---,0
100/11/24,0,0,---,---,---,---,---,0
100/11/25,15000,5700,0.38,0.38,0.38,0.38,+0.04,2
100/11/28,5000,1950,0.39,0.39,0.39,0.39,+0.01,1
100/11/29,10000,3900,0.39,0.39,0.39,0.39,0.00,2
100/11/30,0,0,---,---,---,---,---,0
100/12/01,0,0,---,---,---,---,---,0
100/12/02,0,0,---,---,---,---,---,0
100/12/05,0,0,---,---,---,---,---,0
100/12/06,0,0,---,---,---,---,---,0
100/12/07,0,0,---,---,---,---,---,0
100/12/08,0,0,---,---,---,---,---,0
100/12/09,0,0,---,---,---,---,---,0
100/12/12,0,0,---,---,---,---,---,0
100/12/13,0,0,---,---,---,---,---,0
100/12/14,0,0,---,---,---,---,---,0
100/12/15,0,0,---,---,---,---,---,0
100/12/16,0,0,---,---,---,---,---,0
100/12/19,10000,1000,0.10,0.10,0.10,0.10,-0.12,1
100/12/20,0,0,---,---,---,---,---,0
100/12/21,0,0,---,---,---,---,---,0
100/12/22,0,0,---,---,---,---,---,0
100/12/23,0,0,---,---,---,---,---,0
100/12/26,0,0,---,---,---,---,---,0
100/12/27,0,0,---,---,---,---,---,0
100/12/28,0,0,---,---,---,---,---,0
100/12/29,0,0,---,---,---,---,---,0
100/12/30,0,0,---,---,---,---,---,0
101/01/02,0,0,---,---,---,---,---,0
101/01/03,156000,35880,0.23,0.23,0.23,0.23,+0.01,3
101/01/04,0,0,---,---,---,---,---,0
101/01/05,156000,39000,0.25,0.25,0.25,0.25,+0.02,2
101/01/06,0,0,---,---,---,---,---,0
101/01/09,80000,29140,0.30,0.39,0.30,0.39,+0.13,4
101/01/10,230000,97900,0.45,0.45,0.39,0.39,0.00,5
101/01/11,198000,76230,0.39,0.39,0.38,0.38,-0.01,2
101/01/12,563000,244110,0.44,0.48,0.40,0.48,+0.10,10
101/01/13,688000,262560,0.48,0.48,0.32,0.32,-0.16,16
101/01/16,405000,141250,0.35,0.35,0.34,0.35,+0.03,7
101/01/17,262000,100620,0.35,0.41,0.35,0.41,+0.06,5
101/01/18,305000,136340,0.42,0.46,0.42,0.46,+0.05,7
101/01/30,234000,111520,0.46,0.50,0.46,0.50,+0.04,9
101/01/31,504000,271960,0.50,0.58,0.50,0.53,+0.03,11
101/02/01,706000,378910,0.54,0.58,0.50,0.58,+0.05,15
101/02/02,1091000,748350,0.71,0.71,0.66,0.70,+0.12,18
101/02/03,867000,598330,0.69,0.78,0.66,0.74,+0.04,16
101/02/04,788000,615100,0.76,0.81,0.75,0.76,+0.02,17
101/02/06,214000,141870,0.71,0.71,0.62,0.63,-0.13,5
101/02/07,436000,265120,0.63,0.66,0.59,0.63,0.00,14
101/02/08,515000,352950,0.67,0.71,0.67,0.68,+0.05,14
101/02/09,1029000,865470,0.79,1.13,0.77,1.13,+0.45,27
101/02/10,1051000,993980,1.00,1.10,0.84,0.84,-0.29,31
101/02/13,491000,383450,0.84,0.84,0.75,0.79,-0.05,10
101/02/14,473000,378040,0.84,0.84,0.71,0.74,-0.05,11
101/02/15,614000,495730,0.78,0.83,0.78,0.79,+0.05,15
101/02/16,538000,428570,0.77,0.83,0.73,0.73,-0.06,9
101/02/17,422000,274720,0.71,0.71,0.64,0.64,-0.09,9
101/02/20,420000,283680,0.68,0.69,0.67,0.68,+0.04,8
101/02/21,872000,675050,0.78,0.82,0.72,0.77,+0.09,19
101/02/22,674000,635800,0.79,1.11,0.79,1.06,+0.29,25
101/02/23,751000,826140,1.06,1.24,1.05,1.07,+0.01,19
101/02/24,188000,196090,1.12,1.12,0.97,0.97,-0.10,12
101/02/29,122000,113220,1.01,1.01,0.89,0.89,-0.08,5
101/03/01,86000,75080,0.88,0.89,0.84,0.84,-0.05,4
101/03/02,90000,81840,0.90,0.93,0.90,0.90,+0.06,6
101/03/03,408000,379710,0.94,0.98,0.92,0.92,+0.02,12
101/03/05,362000,309320,0.92,0.92,0.80,0.80,-0.12,10
101/03/06,704000,410080,0.78,0.78,0.53,0.55,-0.25,14
101/03/07,651000,326650,0.47,0.56,0.47,0.49,-0.06,16
101/03/08,235000,133190,0.58,0.58,0.55,0.57,+0.08,9
101/03/09,434000,253100,0.59,0.61,0.56,0.56,-0.01,9
101/03/12,565000,324930,0.64,0.64,0.53,0.53,-0.03,14
101/03/13,1075000,550860,0.56,0.56,0.50,0.50,-0.03,17
101/03/14,954000,498020,0.54,0.54,0.50,0.52,+0.02,14
101/03/15,931000,469600,0.52,0.52,0.49,0.50,-0.02,20
101/03/16,573000,287950,0.50,0.52,0.49,0.50,0.00,15
101/03/19,512000,331730,0.66,0.70,0.60,0.63,+0.13,20
101/03/20,613000,355600,0.66,0.66,0.53,0.53,-0.10,14
101/03/21,628000,304820,0.52,0.52,0.45,0.46,-0.07,12
101/03/22,255000,117870,0.47,0.47,0.46,0.46,0.00,3
101/03/23,192000,86280,0.42,0.47,0.42,0.45,-0.01,6
101/03/26,232000,100430,0.42,0.45,0.42,0.44,-0.01,4
101/03/27,80000,35200,0.44,0.44,0.44,0.44,0.00,1
101/03/28,432000,211060,0.44,0.54,0.44,0.54,+0.10,10
101/03/29,681000,422600,0.68,0.73,0.50,0.65,+0.11,21
101/03/30,566000,426560,0.67,0.88,0.65,0.86,+0.21,39
101/04/02,388000,281750,0.84,0.84,0.67,0.67,-0.19,13
101/04/03,62000,45720,0.81,0.82,0.64,0.64,-0.03,8
101/04/05,527000,295540,0.41,0.67,0.41,0.64,0.00,24
101/04/06,319000,310150,0.80,1.29,0.80,1.24,+0.60,16
101/04/09,308000,299590,1.04,1.11,0.78,0.78,-0.46,31
101/04/10,596000,599090,0.94,1.20,0.80,0.93,+0.15,59
101/04/11,429000,322170,0.82,0.90,0.62,0.78,-0.15,45
101/04/12,161000,131520,0.84,0.90,0.71,0.80,+0.02,21
101/04/13,518000,476880,0.97,1.02,0.87,0.95,+0.15,38
101/04/16,136000,114940,0.95,0.95,0.81,0.81,-0.14,7
101/04/17,161000,93530,0.78,0.78,0.52,0.61,-0.20,10
101/04/18,124000,77870,0.63,0.63,0.62,0.62,+0.01,5
101/04/19,374000,185740,0.61,0.61,0.39,0.39,-0.23,13
101/04/20,88000,40120,0.57,0.58,0.38,0.38,-0.01,9
101/04/23,216000,68790,0.35,0.37,0.25,0.27,-0.11,12
101/04/24,120000,34600,0.34,0.34,0.21,0.26,-0.01,6
101/04/25,10000,3100,0.31,0.31,0.31,0.31,+0.05,1
101/04/26,210000,69300,0.29,0.35,0.29,0.30,-0.01,10
101/04/27,170000,69330,0.37,0.44,0.37,0.37,+0.07,35
101/04/30,102000,30600,0.30,0.30,0.30,0.30,-0.07,2
101/05/02,30000,14070,0.39,0.62,0.39,0.54,+0.24,5
101/05/03,23000,12650,0.55,0.55,0.55,0.55,+0.01,3
101/05/04,11000,6570,0.57,0.60,0.57,0.60,+0.05,3
101/05/07,50000,22500,0.45,0.45,0.45,0.45,-0.15,1
101/05/08,10000,3400,0.34,0.34,0.34,0.34,-0.11,1
101/05/09,75000,14250,0.19,0.19,0.19,0.19,-0.15,1
101/05/10,570000,76800,0.19,0.21,0.10,0.10,-0.09,10
