104/07/29,165000,174500,1.12,1.12,1.01,1.01,-0.04,10
104/07/30,1357000,1300310,1.01,1.01,0.91,0.94,-0.07,37
104/07/31,1569000,1360420,0.92,0.94,0.69,0.85,-0.09,68
104/08/03,1161000,989730,0.78,0.87,0.78,0.85,0.00,29
104/08/04,566000,510290,0.85,0.97,0.78,0.93,+0.08,41
104/08/05,450000,409640,0.90,0.96,0.85,0.87,-0.06,43
104/08/06,179000,157670,0.85,0.90,0.80,0.89,+0.02,20
104/08/07,125000,112680,0.94,0.94,0.81,0.90,+0.01,24
104/08/10,258000,193990,0.82,0.87,0.67,0.75,-0.15,35
104/08/11,61000,44520,0.65,0.77,0.65,0.77,+0.02,9
104/08/12,51000,37760,0.69,0.78,0.69,0.78,+0.01,6
104/08/13,24000,16860,0.77,0.77,0.69,0.69,-0.09,6
104/08/14,15000,10940,0.75,0.75,0.70,0.70,+0.01,6
104/08/17,39000,27080,0.79,0.79,0.68,0.68,-0.02,4
104/08/18,18000,11680,0.65,0.65,0.63,0.63,-0.05,6
104/08/19,63000,41160,0.62,0.68,0.62,0.65,+0.02,5
104/08/20,49000,32260,0.63,0.72,0.61,0.67,+0.02,6
104/08/21,30000,21180,0.76,0.76,0.70,0.70,+0.03,3
104/08/24,362000,297180,0.75,0.90,0.75,0.83,+0.13,31
104/08/25,56000,45100,0.81,0.81,0.76,0.76,-0.07,8
104/08/26,33000,25410,0.77,0.77,0.77,0.77,+0.01,2
104/08/27,2000,1540,0.77,0.77,0.77,0.77,0.00,1
104/08/28,15000,9760,0.65,0.84,0.62,0.84,+0.07,3
104/08/31,1000,860,0.86,0.86,0.86,0.86,+0.02,1
104/09/01,0,0,---,---,---,---,---,0
104/09/02,39000,28050,0.86,0.86,0.65,0.65,-0.20,7
104/09/03,120000,71900,0.60,0.60,0.55,0.55,-0.10,8
104/09/04,38000,21380,0.55,0.66,0.55,0.58,+0.03,3
104/09/07,60000,33200,0.60,0.61,0.53,0.61,+0.03,6
104/09/08,11000,5760,0.53,0.53,0.52,0.52,-0.09,3
104/09/09,26000,13100,0.50,0.52,0.50,0.52,0.00,4
104/09/10,10000,4100,0.41,0.41,0.41,0.41,-0.11,2
104/09/11,20000,8600,0.38,0.48,0.38,0.48,+0.07,2
104/09/14,12000,3800,0.31,0.35,0.31,0.35,-0.13,2
104/09/15,10000,3500,0.35,0.35,0.35,0.35,0.00,1
104/09/16,11000,3680,0.33,0.38,0.33,0.38,+0.03,3
104/09/17,16000,6050,0.38,0.40,0.37,0.40,+0.02,3
104/09/18,3000,1100,0.35,0.40,0.35,0.40,0.00,2
104/09/21,1000,420,0.42,0.42,0.42,0.42,+0.02,1
104/09/22,74000,23140,0.32,0.32,0.30,0.31,-0.11,8
104/09/23,13000,5020,0.42,0.43,0.35,0.35,+0.04,3
104/09/24,0,0,---,---,---,---,---,0
104/09/25,0,0,---,---,---,---,---,0
104/09/30,0,0,---,---,---,---,---,0
104/10/01,20000,4000,0.20,0.20,0.20,0.20,-0.12,1
104/10/02,0,0,---,---,---,---,---,0
104/10/05,5000,1210,0.25,0.25,0.24,0.24,+0.04,2
104/10/06,0,0,---,---,---,---,---,0
104/10/07,0,0,---,---,---,---,---,0
104/10/08,7000,1650,0.25,0.25,0.20,0.20,-0.04,2
104/10/12,0,0,---,---,---,---,---,0
104/10/13,0,0,---,---,---,---,---,0
104/10/14,12000,2590,0.19,0.22,0.19,0.22,+0.02,3
104/10/15,10000,2500,0.25,0.25,0.25,0.25,+0.03,2
104/10/16,15000,2500,0.16,0.18,0.16,0.18,-0.07,2
104/10/19,52000,7160,0.15,0.15,0.13,0.13,-0.05,7
104/10/20,50000,6000,0.12,0.12,0.12,0.12,-0.01,1
104/10/21,0,0,---,---,---,---,---,0
104/10/22,0,0,---,---,---,---,---,0
104/10/23,0,0,---,---,---,---,---,0
104/10/26,0,0,---,---,---,---,---,0
104/10/27,0,0,---,---,---,---,---,0
104/10/28,41000,3720,0.10,0.10,0.08,0.08,-0.05,6
104/10/29,774000,46520,0.06,0.07,0.06,0.06,-0.02,20
104/10/30,555000,34750,0.07,0.07,0.06,0.06,0.00,48
104/11/02,400000,24000,0.06,0.06,0.06,0.06,0.00,2
104/11/03,0,0,---,---,---,---,---,0
104/11/04,24000,1400,0.06,0.06,0.05,0.05,-0.01,3
104/11/05,110000,5500,0.05,0.05,0.05,0.05,0.00,2
104/11/06,101000,5050,0.05,0.05,0.05,0.05,0.00,5
104/11/09,20000,1000,0.05,0.05,0.05,0.05,0.00,2
104/11/10,0,0,---,---,---,---,---,0
104/11/11,75000,3200,0.05,0.05,0.04,0.04,-0.01,8
104/11/12,0,0,---,---,---,---,---,0
104/11/13,0,0,---,---,---,---,---,0
104/11/16,0,0,---,---,---,---,---,0
104/11/17,0,0,---,---,---,---,---,0
104/11/18,0,0,---,---,---,---,---,0
104/11/19,16000,220,0.01,0.02,0.01,0.02,-0.02,2
104/11/20,0,0,---,---,---,---,---,0
104/11/23,0,0,---,---,---,---,---,0
104/11/24,0,0,---,---,---,---,---,0
104/11/25,0,0,---,---,---,---,---,0
104/11/26,0,0,---,---,---,---,---,0
104/11/27,0,0,---,---,---,---,---,0
104/11/30,0,0,---,---,---,---,---,0
104/12/01,51000,510,0.01,0.01,0.01,0.01,-0.01,1
104/12/02,0,0,---,---,---,---,---,0
104/12/03,0,0,---,---,---,---,---,0
104/12/04,0,0,---,---,---,---,---,0
104/12/07,353000,3530,0.01,0.01,0.01,0.01,0.00,2
104/12/08,0,0,---,---,---,---,---,0
104/12/09,0,0,---,---,---,---,---,0
104/12/10,0,0,---,---,---,---,---,0
104/12/11,0,0,---,---,---,---,---,0
104/12/14,0,0,---,---,---,---,---,0
104/12/15,34000,680,0.02,0.02,0.02,0.02,+0.01,2
104/12/16,10000,300,0.03,0.03,0.03,0.03,+0.01,2
104/12/17,0,0,---,---,---,---,---,0
104/12/18,10000,100,0.01,0.01,0.01,0.01,-0.02,1
104/12/21,0,0,---,---,---,---,---,0
104/12/22,0,0,---,---,---,---,---,0
104/12/23,0,0,---,---,---,---,---,0
104/12/24,0,0,---,---,---,---,---,0
104/12/25,0,0,---,---,---,---,---,0
104/12/28,0,0,---,---,---,---,---,0
104/12/29,30000,300,0.01,0.01,0.01,0.01,0.00,30
104/12/30,0,0,---,---,---,---,---,0
104/12/31,0,0,---,---,---,---,---,0
105/01/04,0,0,---,---,---,---,---,0
105/01/05,0,0,---,---,---,---,---,0
105/01/06,0,0,---,---,---,---,---,0
105/01/07,0,0,---,---,---,---,---,0
105/01/08,0,0,---,---,---,---,---,0
105/01/11,0,0,---,---,---,---,---,0
105/01/12,0,0,---,---,---,---,---,0
105/01/13,0,0,---,---,---,---,---,0
105/01/14,0,0,---,---,---,---,---,0
105/01/15,0,0,---,---,---,---,---,0
105/01/18,0,0,---,---,---,---,---,0
105/01/19,0,0,---,---,---,---,---,0
105/01/20,0,0,---,---,---,---,---,0
105/01/21,0,0,---,---,---,---,---,0
105/01/22,0,0,---,---,---,---,---,0
105/01/25,0,0,---,---,---,---,---,0
105/01/26,0,0,---,---,---,---,---,0
