104/10/26,4000,4600,1.15,1.15,1.15,1.15,0.00,1
104/10/27,7000,7270,1.05,1.05,1.03,1.03,-0.12,2
104/10/28,297000,320100,1.02,1.10,1.02,1.08,+0.05,15
104/10/29,1647000,1794200,1.09,1.11,1.05,1.06,-0.02,40
104/10/30,1300000,1314400,1.03,1.03,1.00,1.03,-0.03,11
104/11/02,53000,53270,0.99,1.02,0.99,1.02,-0.01,8
104/11/03,268000,270880,1.03,1.03,1.01,1.01,-0.01,3
104/11/04,67000,62980,0.93,0.95,0.93,0.95,-0.06,4
104/11/05,1006000,1051020,0.99,1.11,0.98,1.09,+0.14,18
104/11/06,1806000,2005220,1.09,1.23,1.05,1.08,-0.01,48
104/11/09,1263000,1383020,1.13,1.13,1.00,1.00,-0.08,25
104/11/10,442000,402760,0.95,0.97,0.89,0.90,-0.10,17
104/11/11,273000,252920,0.89,0.94,0.89,0.93,+0.03,6
104/11/12,536000,485800,0.91,0.93,0.89,0.92,-0.01,9
104/11/13,446000,384660,0.89,0.89,0.85,0.85,-0.07,4
104/11/16,37000,29970,0.81,0.81,0.81,0.81,-0.04,7
104/11/17,57000,48280,0.86,0.86,0.84,0.84,+0.03,4
104/11/18,445000,366890,0.84,0.88,0.80,0.88,+0.04,6
104/11/19,469000,393980,0.87,0.87,0.83,0.84,-0.04,3
104/11/20,71000,58220,0.82,0.82,0.82,0.82,-0.02,1
104/11/23,310000,244800,0.79,0.79,0.78,0.78,-0.04,3
104/11/24,858000,634810,0.77,0.77,0.71,0.72,-0.06,7
104/11/25,480000,322300,0.67,0.68,0.66,0.68,-0.04,7
104/11/26,373000,260270,0.69,0.72,0.68,0.71,+0.03,20
104/11/27,183000,124200,0.70,0.70,0.67,0.67,-0.04,3
104/11/30,0,0,---,---,---,---,---,0
104/12/01,26000,15880,0.61,0.63,0.61,0.63,+0.01,3
104/12/02,70000,40000,0.58,0.58,0.56,0.56,-0.07,2
104/12/03,9000,5220,0.58,0.58,0.58,0.58,+0.02,1
104/12/04,0,0,---,---,---,---,---,0
104/12/07,0,0,---,---,---,---,---,0
104/12/08,0,0,---,---,---,---,---,0
104/12/09,100000,44000,0.44,0.44,0.44,0.44,-0.06,1
104/12/10,0,0,---,---,---,---,---,0
104/12/11,0,0,---,---,---,---,---,0
104/12/14,9000,3690,0.41,0.41,0.41,0.41,-0.06,1
104/12/15,0,0,---,---,---,---,---,0
104/12/16,185000,97450,0.50,0.53,0.50,0.53,+0.12,3
104/12/17,219000,113840,0.56,0.59,0.49,0.52,-0.01,15
104/12/18,50000,24090,0.52,0.52,0.48,0.48,-0.04,6
104/12/21,20000,9500,0.47,0.48,0.47,0.48,0.00,2
104/12/22,45000,20100,0.44,0.45,0.44,0.45,-0.03,4
104/12/23,160000,68600,0.43,0.43,0.41,0.41,-0.04,2
104/12/24,80000,31600,0.41,0.41,0.38,0.38,-0.03,6
104/12/25,0,0,---,---,---,---,---,0
104/12/28,4000,1680,0.42,0.42,0.42,0.42,+0.04,1
104/12/29,0,0,---,---,---,---,---,0
104/12/30,0,0,---,---,---,---,---,0
104/12/31,0,0,---,---,---,---,---,0
105/01/04,0,0,---,---,---,---,---,0
105/01/05,50000,19500,0.39,0.39,0.39,0.39,-0.02,2
105/01/06,20000,7600,0.38,0.38,0.38,0.38,-0.01,1
105/01/07,150000,43000,0.29,0.29,0.28,0.28,-0.10,3
105/01/08,0,0,---,---,---,---,---,0
105/01/11,0,0,---,---,---,---,---,0
105/01/12,0,0,---,---,---,---,---,0
105/01/13,0,0,---,---,---,---,---,0
105/01/14,0,0,---,---,---,---,---,0
105/01/15,0,0,---,---,---,---,---,0
105/01/18,414000,82800,0.20,0.20,0.20,0.20,-0.03,1
105/01/19,220000,63000,0.23,0.31,0.23,0.31,+0.11,4
105/01/20,130000,43800,0.34,0.34,0.32,0.32,+0.01,5
105/01/21,0,0,---,---,---,---,---,0
