105/12/09,0,0,---,---,---,---,---,0
105/12/12,11000,10780,0.98,0.98,0.98,0.98,+0.07,2
105/12/13,218000,215980,0.96,1.00,0.94,1.00,+0.02,8
105/12/14,183000,178680,0.96,0.99,0.96,0.99,-0.01,8
105/12/15,120000,121200,1.01,1.01,1.01,1.01,+0.02,2
105/12/16,138000,135600,0.98,1.00,0.98,1.00,-0.01,8
105/12/19,32000,31640,0.98,1.00,0.98,1.00,0.00,2
105/12/20,10000,9900,0.99,0.99,0.99,0.99,-0.01,1
105/12/21,323000,354290,1.01,1.12,1.01,1.12,+0.13,10
105/12/22,258000,295410,1.14,1.16,1.11,1.11,-0.01,14
105/12/23,73000,81530,1.11,1.12,1.10,1.12,+0.01,5
