107/01/08,0,0,---,---,---,---,---,0
107/01/09,39000,65520,1.68,1.68,1.68,1.68,-0.04,1
107/01/10,41000,69250,1.69,1.69,1.67,1.67,-0.01,2
107/01/11,57000,90060,1.58,1.58,1.58,1.58,-0.09,1
107/01/12,566000,974060,1.65,1.76,1.65,1.73,+0.15,12
107/01/15,484000,899320,1.83,1.94,1.80,1.87,+0.14,9
107/01/16,255000,434310,1.70,1.74,1.66,1.70,-0.17,6
107/01/17,202000,328280,1.63,1.64,1.62,1.64,-0.06,4
107/01/18,773000,1309150,1.63,1.77,1.63,1.69,+0.05,20
107/01/19,954000,1637220,1.72,1.74,1.64,1.68,-0.01,19
107/01/22,709000,1219940,1.67,1.77,1.65,1.74,+0.06,14
107/01/23,378000,614930,1.65,1.65,1.62,1.63,-0.11,5
107/01/24,241000,370370,1.50,1.56,1.50,1.56,-0.07,5
107/01/26,525000,762650,1.46,1.50,1.44,1.50,-0.03,10
107/01/31,182000,268130,1.43,1.56,1.43,1.56,+0.19,5
107/02/01,578000,946610,1.64,1.67,1.60,1.60,+0.04,24
107/02/02,353000,557910,1.55,1.63,1.55,1.60,0.00,12
107/02/05,410000,559940,1.33,1.40,1.33,1.40,-0.20,9
107/02/06,625000,774340,1.31,1.36,0.91,0.91,-0.49,18
107/02/12,170000,215400,1.28,1.30,1.25,1.25,+0.14,3
107/02/21,0,0,---,---,---,---,---,0
107/02/23,408000,558160,1.37,1.39,1.34,1.34,0.00,5
107/02/26,240000,322210,1.35,1.36,1.32,1.33,-0.01,6
107/02/27,656000,901280,1.33,1.40,1.30,1.30,-0.03,11
107/03/01,1033000,1363180,1.25,1.62,1.20,1.62,+0.32,18
107/03/02,804000,1211000,1.44,1.55,1.44,1.53,-0.09,16
107/03/05,843000,1342840,1.45,1.65,1.45,1.47,-0.06,24
107/03/07,386000,556540,1.40,1.49,1.38,1.48,-0.02,21
107/03/09,66000,91730,1.39,1.39,1.38,1.38,+0.01,2
107/03/12,65000,89700,1.38,1.38,1.38,1.38,0.00,1
107/03/13,435000,590550,1.31,1.40,1.31,1.40,+0.02,13
107/03/14,463000,702200,1.55,1.55,1.48,1.50,+0.10,11
107/03/15,3000,4050,1.35,1.35,1.35,1.35,-0.15,2
107/03/16,76000,98960,1.29,1.31,1.29,1.31,-0.04,2
107/03/19,183000,241090,1.31,1.33,1.31,1.31,0.00,3
107/03/20,237000,302360,1.27,1.28,1.27,1.28,-0.03,2
107/03/21,722000,965760,1.32,1.37,1.32,1.35,+0.07,11
107/03/22,626000,931880,1.37,1.63,1.37,1.53,+0.18,27
107/03/23,62000,82180,1.30,1.34,1.29,1.34,-0.19,7
107/03/26,645000,910460,1.39,1.44,1.39,1.43,+0.09,17
107/03/27,1445000,2342490,1.47,1.99,1.46,1.78,+0.35,47
107/03/28,539000,864380,1.69,1.69,1.54,1.57,-0.21,25
107/03/29,97000,162070,1.63,1.72,1.53,1.53,-0.04,11
107/03/30,1170000,1926570,1.61,1.84,1.50,1.84,+0.31,29
107/03/31,912000,1681110,1.81,1.93,1.60,1.64,-0.20,59
107/04/02,413000,669500,1.68,1.68,1.52,1.54,-0.10,13
107/04/03,94000,141930,1.43,1.55,1.43,1.55,+0.01,5
107/04/09,69000,107340,1.56,1.56,1.53,1.53,-0.02,2
107/04/10,85000,140900,1.64,1.70,1.56,1.56,+0.03,4
107/04/11,211000,370870,1.76,1.84,1.66,1.83,+0.27,13
107/04/12,195000,346650,1.76,1.81,1.71,1.71,-0.12,4
107/04/13,216000,381660,1.75,1.80,1.69,1.80,+0.09,10
107/04/16,360000,676100,1.84,2.11,1.84,2.11,+0.31,10
107/04/17,100000,222400,2.38,2.38,1.85,1.85,-0.26,14
107/04/18,293000,597680,2.05,2.08,1.90,2.03,+0.18,4
107/04/20,34000,77760,2.30,2.30,2.19,2.19,-0.11,4
107/04/23,10000,22300,2.23,2.23,2.23,2.23,+0.04,1
