106/01/13,3000,2730,0.91,0.91,0.91,0.91,0.00,1
106/01/16,25000,23120,0.92,0.93,0.92,0.92,+0.01,5
106/01/17,0,0,---,---,---,---,---,0
106/01/18,13000,11990,0.93,0.93,0.88,0.88,-0.04,2
106/01/19,49000,42750,0.87,0.88,0.87,0.87,-0.01,3
106/01/20,39000,34210,0.87,0.89,0.87,0.89,+0.02,4
106/01/23,49000,42140,0.86,0.86,0.86,0.86,-0.03,1
106/01/24,0,0,---,---,---,---,---,0
106/02/02,0,0,---,---,---,---,---,0
106/02/03,58000,41140,0.74,0.74,0.68,0.68,-0.15,6
106/02/06,0,0,---,---,---,---,---,0
106/02/07,0,0,---,---,---,---,---,0
106/02/08,0,0,---,---,---,---,---,0
106/02/09,10000,7000,0.70,0.70,0.70,0.70,+0.03,1
106/02/10,0,0,---,---,---,---,---,0
106/02/13,10000,7300,0.73,0.73,0.73,0.73,-0.01,1
106/02/14,58000,41760,0.72,0.72,0.72,0.72,-0.01,1
106/02/15,0,0,---,---,---,---,---,0
106/02/16,1000,760,0.76,0.76,0.76,0.76,+0.04,1
106/02/17,1000,720,0.72,0.72,0.72,0.72,-0.04,1
106/02/18,0,0,---,---,---,---,---,0
106/02/20,0,0,---,---,---,---,---,0
106/02/21,63000,46860,0.72,0.75,0.72,0.75,+0.05,2
106/02/22,406000,293370,0.72,0.73,0.72,0.73,-0.02,7
106/02/23,454000,318950,0.68,0.72,0.65,0.69,-0.04,8
106/02/24,26000,17040,0.64,0.66,0.64,0.66,-0.03,2
106/03/01,0,0,---,---,---,---,---,0
106/03/02,20000,12800,0.64,0.64,0.64,0.64,0.00,1
106/03/03,229000,142080,0.63,0.63,0.62,0.62,-0.02,7
106/03/06,748000,478190,0.60,0.66,0.60,0.66,+0.04,18
106/03/07,637000,420440,0.65,0.69,0.65,0.69,+0.03,18
106/03/08,1819000,1355900,0.69,0.80,0.69,0.79,+0.10,44
106/03/09,1037000,830780,0.83,0.85,0.78,0.80,+0.01,38
106/03/10,236000,193200,0.80,0.83,0.80,0.80,0.00,10
106/03/13,368000,296720,0.79,0.83,0.79,0.82,+0.02,6
106/03/14,190000,158200,0.83,0.85,0.83,0.84,+0.02,6
106/03/15,65000,50550,0.77,0.79,0.77,0.79,-0.05,6
106/03/16,190000,147600,0.77,0.79,0.77,0.78,-0.01,6
106/03/17,60000,46500,0.77,0.78,0.77,0.78,0.00,3
106/03/20,50000,35800,0.70,0.74,0.70,0.74,-0.04,2
106/03/21,0,0,---,---,---,---,---,0
106/03/22,40000,28600,0.70,0.72,0.70,0.72,-0.02,2
106/03/23,310000,219500,0.69,0.71,0.69,0.71,-0.01,3
106/03/24,327000,247180,0.75,0.77,0.75,0.77,+0.06,4
