106/05/04,13000,10660,0.82,0.82,0.82,0.82,+0.04,3
106/05/05,9000,7510,0.83,0.85,0.83,0.85,+0.03,2
106/05/08,48000,43040,0.89,0.90,0.88,0.90,+0.05,5
106/05/09,81000,75790,0.87,0.99,0.87,0.99,+0.09,7
106/05/10,204000,179910,0.94,0.94,0.86,0.87,-0.12,10
106/05/11,194000,168920,0.86,0.89,0.86,0.88,+0.01,8
106/05/12,32000,28840,0.90,0.92,0.90,0.92,+0.04,2
106/05/15,53000,48470,0.91,0.93,0.91,0.92,0.00,4
106/05/16,205000,174150,0.83,0.88,0.81,0.88,-0.04,5
106/05/17,166000,152210,0.90,0.94,0.90,0.93,+0.05,7
106/05/18,138000,128750,0.95,0.95,0.92,0.93,0.00,8
106/05/19,0,0,---,---,---,---,---,0
106/05/22,0,0,---,---,---,---,---,0
106/05/23,0,0,---,---,---,---,---,0
106/05/24,0,0,---,---,---,---,---,0
106/05/25,0,0,---,---,---,---,---,0
106/05/26,104000,93460,0.87,0.90,0.86,0.90,+0.06,3
106/05/31,142000,125070,0.87,0.90,0.87,0.90,0.00,8
106/06/01,11000,9830,0.89,0.93,0.89,0.93,+0.03,2
106/06/02,41000,36330,0.89,0.89,0.88,0.88,-0.05,2
106/06/03,25000,22350,0.87,0.90,0.87,0.90,+0.02,3
106/06/05,32000,27700,0.87,0.87,0.85,0.86,-0.04,3
106/06/06,79000,63590,0.80,0.81,0.80,0.80,-0.06,4
106/06/07,0,0,---,---,---,---,---,0
106/06/08,66000,49000,0.75,0.75,0.70,0.70,-0.09,3
106/06/09,59000,42080,0.69,0.72,0.69,0.72,+0.02,3
106/06/12,40000,27400,0.73,0.73,0.67,0.67,-0.05,2
106/06/21,252000,182780,0.74,0.75,0.71,0.75,+0.01,9
106/09/12,0,0,---,---,---,---,---,0
106/09/13,0,0,---,---,---,---,---,0
106/09/15,0,0,---,---,---,---,---,0
106/09/18,0,0,---,---,---,---,---,0
106/09/20,0,0,---,---,---,---,---,0
106/09/21,0,0,---,---,---,---,---,0
106/09/22,0,0,---,---,---,---,---,0
